-399,165,-558,2888,-656,-1148,-1487,-433,-267,-1840,-2209,-252,-1035,-709,691,288
-427,-139,-637,2875,-626,-1093,-1600,-586,-250,-1874,-2432,-260,-1012,-678,-1540,343
-415,165,-658,2813,-643,-1091,-52,-554,-270,-1942,-2434,-143,-1133,-701,-1732,348
-557,-130,-1137,2562,-967,-1531,2652,-903,-468,-2217,-3020,-597,-1510,-1148,-2594,-171
-438,456,-850,2916,-643,-1089,7905,-409,-225,-1949,-2766,-271,-1135,-750,-2673,90
-465,708,-1046,2935,-567,-1084,8005,-386,-180,-2130,-2347,-230,-1093,-816,-2828,177
-430,301,-961,2818,-514,-1191,4938,-222,-152,-2059,-2306,-220,-1020,-733,-2896,199
-400,316,-714,2745,-484,-1078,4728,45,-134,-2134,-2300,-277,-1110,-835,-2728,148
-375,218,-682,2796,-405,-1091,3531,92,-198,-2155,-2345,-256,-1082,-767,-2375,75
-391,65,-652,2862,-507,-1025,2654,35,-191,-2059,-2287,-254,-1067,-729,-1866,163
-429,254,-682,3001,-524,-1044,2281,-28,-147,-2028,-2251,-71,-974,-697,-1927,62
-449,209,-560,2869,-588,-1148,1187,82,-86,-2000,-2355,-54,-925,-616,-2162,13
-427,148,-505,2960,-452,-1054,-788,126,-128,-1985,-2264,28,-914,-639,-1791,9
-576,-284,-852,2624,-1001,-1491,-235,-235,-356,-2466,-2675,-558,-1374,-1210,-2419,-580
-457,-39,-592,2858,-716,-1233,2187,67,-134,-2142,-2362,-288,-959,-844,-3073,-350
-436,5,-690,2841,-765,-1157,5907,-7,-151,-2059,-2441,-245,-1091,-793,-2456,-152
-422,-28,-541,2916,-744,-1131,6987,-66,-176,-1991,-2407,-233,-1044,-727,-2189,62
-406,60,-582,2903,-782,-1172,3077,-175,-208,-1959,-2338,-267,-1067,-654,-2321,314
-391,-7,-590,2939,-739,-1152,2249,-69,-227,-1964,-2264,-188,-997,-658,-2556,522
-402,92,-597,2920,-780,-1091,2364,7,-250,-1938,-2289,-264,-1054,-714,-3071,654
-378,216,-548,2990,-686,-1016,1325,16,-213,-1970,-2223,-228,-1084,-641,-3069,635
-317,256,-535,2916,-618,-1014,427,160,-171,-2010,-2168,-73,-1131,-684,-2257,361
-314,401,-541,2933,-722,-1012,1106,101,-188,-1904,-2213,-111,-931,-684,720,197
-524,133,-1003,2532,-1172,-1463,1862,-631,-395,-2368,-2688,-558,-1408,-1086,1632,-330
-411,222,-729,2839,-697,-1099,3546,-622,-166,-2053,-2287,-98,-1074,-722,-1097,-139
-373,-164,-707,2937,-675,-1046,3333,-452,-109,-1944,-2319,-75,-1106,-776,-3788,-226
-385,-179,-539,2939,-716,-1067,1583,-79,-166,-2021,-2209,-141,-982,-669,-4787,-111
-410,24,-269,2914,-716,-942,1131,62,-155,-1947,-2287,-126,-1057,-211,-5072,18
-419,-107,-454,2856,-690,-948,899,111,-144,-1930,-2330,-126,-974,974,-4598,-35
-406,109,-418,2860,-539,-1001,1427,-3,-72,-2021,-2281,-143,-1027,1551,-3993,-17
-394,305,-488,2911,-565,-918,2679,101,-105,-1974,-2249,-113,-1069,831,-1221,97
-367,299,-571,2875,-716,-1046,3842,122,-122,-1900,-2223,-158,-995,-646,2247,92
-329,484,-844,2803,-692,-1091,3933,-145,-32,-1864,-2230,-162,-978,-2430,1957,343
-530,116,-1242,2277,-1040,-1459,2581,-744,-264,-2332,-2628,-637,-1448,-3893,1157,-115
-445,265,-741,2647,-788,-1152,2758,-316,-70,-1693,-2332,-256,-1074,-3041,286,165
-462,-96,-722,2739,-641,-1142,2258,-224,-72,-1623,-2292,-141,-1165,-2115,-2230,207
-515,-284,-692,2813,-609,-1208,1779,271,-45,-1719,-2375,-237,-1189,-1378,-3974,211
-507,-88,-737,2758,-639,-1080,1561,405,-74,-1913,-2522,-228,-1140,-918,-4274,109
-368,229,-629,2843,-756,-1165,880,26,-60,-1906,-2351,-264,-1148,-471,-4116,-5
-210,484,-882,2788,-709,-1150,620,-260,-60,-1896,-2298,-254,-1027,-207,-4101,-128
-195,135,-761,2752,-620,-1108,1860,-439,-98,-1983,-2385,-171,-1029,-196,-3003,-226
-208,-120,-599,2788,-776,-1189,3263,-343,-145,-2119,-2517,-96,-1069,-333,-1078,-203
-232,62,-633,2907,-824,-1091,4664,-333,-111,-2074,-2419,-107,-1035,-401,-1661,-41
-550,-599,-967,2475,-1176,-1570,4841,-824,-332,-2511,-2636,-526,-1487,-984,-3431,-213
-414,-482,-514,2792,-918,-1248,3124,-654,-167,-2160,-2002,-275,-1155,-1033,-2213,271
-392,5,-32,2788,-788,-959,2377,-386,-203,-2140,-1800,-235,-1172,-1250,205,482
-443,254,101,2805,-620,-1042,2375,-143,-69,-2168,-1883,-184,-1027,-790,829,507
-441,427,-218,2939,-616,-1076,2124,-77,-48,-1874,-1802,-207,-1086,-614,-927,507
-349,814,-688,2860,-810,-1076,2236,43,-77,-1715,-1930,-218,-1046,-669,-2255,401
-357,71,-1208,2858,-733,-969,2524,77,-28,-1853,-2168,-90,-963,-499,-3156,282
-356,-658,-1614,2892,-609,-1040,2473,33,-81,-1972,-2577,-128,-1018,-499,-3429,211
-313,-335,-1146,2869,-522,-1048,2249,24,-81,-1840,-2594,-177,-1035,-439,-3314,235
-281,11,-735,2830,-548,-1069,2228,50,-114,-1838,-2600,-160,-1054,-501,-1734,190
-544,-341,-1257,2443,-971,-1431,1708,-365,-395,-2349,-3265,-548,-1461,-944,-201,-250
-398,-128,-905,2860,-605,-1135,1768,-58,-245,-1974,-2754,-192,-1061,-580,-1602,-17
-347,156,-814,2933,-490,-1008,1732,18,-237,-2028,-2771,-135,-1012,-541,-3022,26
-350,152,-618,2865,-654,-1031,1057,9,-222,-2064,-2869,-216,-971,-531,-1649,188
